"Name","Votes","Date","Rank","CID"
"パンダップル","799","2012/07/06 0:00:00","67","98"
"ミミックマイク","732","2012/07/06 0:00:00","68","82"
"スモールピープル","721","2012/07/06 0:00:00","69","18"
"カルチャーショック","721","2012/07/06 0:00:00","69","60"
"八千代チャーマー","677","2012/07/06 0:00:00","71","56"
"ディアリー　ルー","642","2012/07/06 0:00:00","72","49"
"ララバイラバブルズ","631","2012/07/06 0:00:00","73","55"
"ちょこぱんだ","630","2012/07/06 0:00:00","74","97"
"へーすけ","627","2012/07/06 0:00:00","75","37"
"シュガークリームパフ","627","2012/07/06 0:00:00","75","43"
"おきがるふれんず","620","2012/07/06 0:00:00","77","6"
"コロちゃん","601","2012/07/06 0:00:00","78","62"
"ウィアー　ダイナソアーズ","530","2012/07/06 0:00:00","79","11"
"だちょのすけ","506","2012/07/06 0:00:00","80","70"
"フレンドリーコッコちゃん","492","2012/07/06 0:00:00","81","33"
"ボ・ボクねずみ小僧だい！","461","2012/07/06 0:00:00","82","59"
"てつなぎクマ","453","2012/07/06 0:00:00","83","63"
"ブーギーウー","448","2012/07/06 0:00:00","84","45"
"ギミーファイブ","361","2012/07/06 0:00:00","85","90"
"ベアロビクス","353","2012/07/06 0:00:00","86","61"
"スティル スモール テールズ","350","2012/07/06 0:00:00","87","72"
"リトルコットンウッドコテージ","335","2012/07/06 0:00:00","88","50"
"ロビーラビット","314","2012/07/06 0:00:00","89","4"
"ピーター　デイビス","314","2012/07/06 0:00:00","89","23"
"プカプカパラダイス","311","2012/07/06 0:00:00","91","87"
"トゥイーディードロップス","305","2012/07/06 0:00:00","92","7"
"ホリーズベアー","290","2012/07/06 0:00:00","93","66"
"スパンキーバロー","286","2012/07/06 0:00:00","94","48"
"カッパルンバ","261","2012/07/06 0:00:00","95","86"
"スポッティドッティ","250","2012/07/06 0:00:00","96","76"
"キャプテンウィリー","217","2012/07/06 0:00:00","97","88"
"ファン　カム　アライブ","197","2012/07/06 0:00:00","98","89"
"ゲーターギャグス","184","2012/07/06 0:00:00","99","91"
"トゥィードルディーディー","156","2012/07/06 0:00:00","100","65"
